"code_muni2","pop_2012","pop_2008","code_muni","IDHM","UF","log_to_brasilia","log_to_capital","metropolitano"
"2705804",8708,8388,270580,0.525,"AL",7.16903433944409,5.44090141000383,0
"2705903",4967,4956,270590,0.503,"AL",7.2163863801843,4.83866002935645,0
"2706000",11150,10828,270600,0.493,"AL",7.21276633355569,5.07810700921127,0
"2706109",10953,11381,270610,0.547,"AL",7.21712056226506,5.22778760035751,0
"2706208",5201,5024,270620,0.558,"AL",7.1965517302831,5.16324192535095,0
"2706307",70738,72202,270630,0.638,"AL",7.25543589495129,4.62565885241541,0
"2706406",23651,24537,270640,0.593,"AL",7.18562183649268,5.22987791332552,0
"2706422",10282,10505,270642,0.548,"AL",7.16878788795913,5.53445611335706,0
"2706448",11845,10027,270644,0.605,"AL",7.32302549287737,3.40252982689593,0
"2706505",14802,14225,270650,0.533,"AL",7.3348187866428,3.99801719859501,0
"2706604",7412,7752,270660,0.589,"AL",7.27406367188911,4.34652898232072,0
"2706703",60890,60750,270670,0.63,"AL",7.22371863897181,4.75522678219477,0
"2706802",17268,17980,270680,0.572,"AL",7.23017205594137,4.72188598568405,0
"2706901",33623,32546,270690,0.61,"AL",7.29221463633126,3.23946245847659,0
"2707008",2857,3218,270700,0.574,"AL",7.27504073184813,4.1658897293852,0
"2707107",23504,24651,270710,0.589,"AL",7.16857219307411,5.40137022160412,0
"2707206",13845,12544,270720,0.526,"AL",7.2153502667658,5.16232580733669,0
"2707305",25974,25870,270730,0.586,"AL",7.34760248994943,4.36093067137915,0
"2707404",8156,10620,270740,0.541,"AL",7.34990583789815,4.30811095172371,0
"2707503",19288,18459,270750,0.551,"AL",7.20971001072064,4.898809478914,0
"2707602",11330,11607,270760,0.559,"AL",7.26932422771918,4.4939033735595,0
"2707701",68952,67359,270770,0.643,"AL",7.30333165433993,3.20193310413789,0
"2707800",6607,6881,270780,0.505,"AL",7.28221120021596,3.48031658611475,0
"2707909",6967,7468,270790,0.597,"AL",7.30077661686596,2.4706386779903,0
"2708006",45453,43527,270800,0.591,"AL",7.21524733164424,5.1278848541465,0
"2708105",10792,12002,270810,0.519,"AL",7.29142457471984,4.34302589732415,0
"2708204",6744,7020,270820,0.572,"AL",7.2076746690984,4.92485951707485,0
"2708303",22906,22941,270830,0.573,"AL",7.30799341691851,4.39568296112137,0
"2708402",30549,31032,270840,0.527,"AL",7.19795168783925,5.19772325131233,0
"2708501",32846,32588,270850,0.536,"AL",7.3277016916865,3.76468241752944,0
"2708600",56319,53070,270860,0.623,"AL",7.2764111639563,3.72255598047332,0
"2708709",7360,7445,270870,0.591,"AL",7.34128940701789,4.08799108824993,0
"2708808",32446,31922,270880,0.549,"AL",7.23953078894443,4.54923455365779,0
"2708907",15020,14584,270890,0.66,"AL",7.30209877054979,2.71137799119488,0
"2708956",13209,13015,270895,0.518,"AL",7.19844532294822,5.28523212699938,0
"2709004",6172,5848,270900,0.555,"AL",7.26337867023309,4.35619587463936,0
"2709103",18907,18695,270910,0.541,"AL",7.25466570480345,4.42556493668836,0
"2709152",41797,41498,270915,0.564,"AL",7.25437584665517,4.2870289060516,0
"2709202",26369,25650,270920,0.532,"AL",7.20679263547205,4.96291455788484,0
"2709301",62923,62395,270930,0.593,"AL",7.30372208738899,4.17022477255742,0
"2709400",25384,26799,270940,0.586,"AL",7.28227308799967,4.16604487638729,0
"2800100",2290,2261,280010,0.611,"SE",7.20537530597288,4.47483368426009,0
"2800209",20315,19762,280020,0.578,"SE",7.19312217347648,4.25262954118781,0
"2800308",587701,536785,280030,0.77,"SE",7.16475904778445,0,0
"2800407",9495,11980,280040,0.595,"SE",7.10844051979305,4.26843791556102,0
"2800506",17164,16568,280050,0.579,"SE",7.15218271293314,3.45062226498968,0
"2800605",26059,19809,280060,0.649,"SE",7.16733875756902,1.28370777234479,0
"2800670",25727,25190,280067,0.604,"SE",7.11288963384125,4.18067515197312,0
"2800704",7839,8001,280070,0.54,"SE",7.22707409035628,4.44488405605475,0
"2801009",16987,16612,280100,0.621,"SE",7.13957309980468,3.91322228600363,0
"2801108",3955,4023,280110,0.569,"SE",7.20129019010915,4.45991317333095,0
"2801207",25733,22534,280120,0.567,"SE",7.1655321141907,5.08382379604773,0
"2801306",31402,28756,280130,0.615,"SE",7.18185806889347,3.81573234510986,0
"2801405",20345,19543,280140,0.588,"SE",7.13943033330698,4.52189726679427,0
"2801504",14130,12317,280150,0.643,"SE",7.18096817596416,3.42165339022954,0
"2801603",5672,5513,280160,0.623,"SE",7.20397827369566,4.33204826486764,0
"2801702",16859,16365,280170,0.553,"SE",7.08910970158589,4.57933942595357,0
"2801900",3839,3852,280190,0.604,"SE",7.17820980576729,4.14313472639153,0
"2802007",4487,4341,280200,0.61,"SE",7.1675238699096,3.25963381734037,0
"2802106",65226,63206,280210,0.647,"SE",7.1228021403888,4.03087213926653,0
"2802205",5363,5805,280220,0.584,"SE",7.17241690249831,4.33872761652873,0
"2802304",14162,12969,280230,0.589,"SE",7.14403615648847,4.16759502396169,0
"2802403",11412,11949,280240,0.564,"SE",7.20126036473671,4.65262612714439,0
"2802502",3009,2862,280250,0.645,"SE",7.17977280047777,3.27676730328398,0
"2802601",5665,5716,280260,0.577,"SE",7.18233691420139,4.34756458111878,0
"2802700",8359,8855,280270,0.562,"SE",7.22155821188524,4.36360804914986,0
"2802809",16236,17677,280280,0.58,"SE",7.1074254741107,4.41775568212813,0
"2802908",88501,85725,280290,0.642,"SE",7.14672493424211,3.82907608460722,0
"2803005",39432,38565,280300,0.556,"SE",7.09418505215395,4.47881299711157,0
"2803104",4942,4863,280310,0.602,"SE",7.19334015385159,4.46992303658007,0
"2803203",31165,29010,280320,0.561,"SE",7.14310404273471,3.3261145755378,0
"2803302",17213,15920,280330,0.621,"SE",7.18668919767621,3.64257370123742,0
"2803401",12926,13944,280340,0.56,"SE",7.20623633198303,4.23931033247229,0
"2803500",96602,91696,280350,0.625,"SE",7.11984597188297,4.14487923559615,0
